"study","condition.name","outcome.name","variant","variant_n_prompts","page_idx","page_text"
"AnsonBRIEF60","Control group 1","economy_positivity",2,64,2,"> Please read the short new article below.
> 
> NEW YORK--- Verizon once again has bragging rights in the wireless industry.
> The carrier took top honors in a new ranking of nationwide network performance by market research firm RootMetrics. Verizon ranked number one for reliability, speed, call and data performance, with AT&T a close second in all those categories. Those two firms held a significant advantage over third-ranked T-Mobile and fourth-ranked Sprint. RootMetrics conducted the study through the use of national surveys."
"AnsonBRIEF60","Control group 1","economy_positivity",2,64,3,"> Would you say that in the past year, the U.S. ECONOMY has gotten better, stayed the same, or gotten worse?
> Please choose a number from 1 (Much worse) to 5 (Much better)

You choose: '"
"AnsonBRIEF60","Treatment group 1","blue_collar_positivity",1,56,1,"> We’ll ask you about a variety of topics in this survey.
> In a moment, we’d like you to read a short news article. Please indicate which of the following you would be interested in reading about. You may not receive your preferred topic.
> 1.        The stock market
> 2.        Wages and income
> 3.        Unemployment
> 
> The first option (the stock market) is selected."
"AnsonBRIEF60","Treatment group 1","blue_collar_positivity",1,56,2,"> Please read the short new article below.
> 
> WASHINGTON --- Stocks were up last week, lending further evidence that the markets are headed for even stronger gains. The Dow Jones rallied substantially in the past quarter, as investors displayed a growing appetite for risk and a striking lack of concern about any reversal of fortune. ``Today's report continues to signal a solid investing environment that is likely to maintain its bullishness,"" said Omair Sharif, senior economist at RBS in Stamford, Connecticut."
"AnsonBRIEF60","Treatment group 1","blue_collar_positivity",1,56,3,"> Would you say that in the past year, BLUE-COLLAR WORKERS have been better off, the same, or worse off?
> Please choose a number from 1 (Much worse) to 5 (Much better)

Participant X chooses: '"
"AnsonBRIEF60","Treatment group 1","blue_collar_positivity",2,64,1,"> We’ll ask you about a variety of topics in this survey.
> In a moment, we’d like you to read a short news article. Please indicate which of the following you would be interested in reading about. You may not receive your preferred topic.
> 1.        The stock market
> 2.        Wages and income
> 3.        Unemployment
> 
> The first option (the stock market) is selected."
"AnsonBRIEF60","Treatment group 1","blue_collar_positivity",2,64,2,"> Please read the short new article below.
> 
> WASHINGTON --- Stocks were up last week, lending further evidence that the markets are headed for even stronger gains. The Dow Jones rallied substantially in the past quarter, as investors displayed a growing appetite for risk and a striking lack of concern about any reversal of fortune. ``Today's report continues to signal a solid investing environment that is likely to maintain its bullishness,"" said Omair Sharif, senior economist at RBS in Stamford, Connecticut."
"AnsonBRIEF60","Treatment group 1","blue_collar_positivity",2,64,3,"> Would you say that in the past year, BLUE-COLLAR WORKERS have been better off, the same, or worse off?
> Please choose a number from 1 (Much worse) to 5 (Much better)

You choose: '"
"AnsonBRIEF60","Control group 1","blue_collar_positivity",1,56,1,"> We’ll ask you about a variety of topics in this survey.
> In a moment, we’d like you to read a short news article. Please indicate which of the following you would be interested in reading about. You may not receive your preferred topic.
> 1.        The stock market
> 2.        Wages and income
> 3.        Unemployment
> 
> The first option (the stock market) is selected."
"AnsonBRIEF60","Control group 1","blue_collar_positivity",1,56,2,"> Please read the short new article below.
> 
> NEW YORK--- Verizon once again has bragging rights in the wireless industry.
> The carrier took top honors in a new ranking of nationwide network performance by market research firm RootMetrics. Verizon ranked number one for reliability, speed, call and data performance, with AT&T a close second in all those categories. Those two firms held a significant advantage over third-ranked T-Mobile and fourth-ranked Sprint. RootMetrics conducted the study through the use of national surveys."
"AnsonBRIEF60","Control group 1","blue_collar_positivity",1,56,3,"> Would you say that in the past year, BLUE-COLLAR WORKERS have been better off, the same, or worse off?
> Please choose a number from 1 (Much worse) to 5 (Much better)

Participant X chooses: '"
"AnsonBRIEF60","Control group 1","blue_collar_positivity",2,64,1,"> We’ll ask you about a variety of topics in this survey.
> In a moment, we’d like you to read a short news article. Please indicate which of the following you would be interested in reading about. You may not receive your preferred topic.
> 1.        The stock market
> 2.        Wages and income
> 3.        Unemployment
> 
> The first option (the stock market) is selected."
"AnsonBRIEF60","Control group 1","blue_collar_positivity",2,64,2,"> Please read the short new article below.
> 
> NEW YORK--- Verizon once again has bragging rights in the wireless industry.
> The carrier took top honors in a new ranking of nationwide network performance by market research firm RootMetrics. Verizon ranked number one for reliability, speed, call and data performance, with AT&T a close second in all those categories. Those two firms held a significant advantage over third-ranked T-Mobile and fourth-ranked Sprint. RootMetrics conducted the study through the use of national surveys."
"AnsonBRIEF60","Control group 1","blue_collar_positivity",2,64,3,"> Would you say that in the past year, BLUE-COLLAR WORKERS have been better off, the same, or worse off?
> Please choose a number from 1 (Much worse) to 5 (Much better)

You choose: '"
"Blair1131","Male, Republican, Eric, Stay out","Approve_Handling",1,56,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Republican, Eric, Stay out","Approve_Handling",1,56,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Republican U.S. President, Eric Smith, says the United States will stay out of the conflict. The attacking country continues to invade. In the end, Eric Smith decides not to send troops, and the attacking country gains 20% of the contested territory.
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Republican named Eric Smith.
> •        Eric Smith says the United States will stay out of the conflict.
> •        The attacking country continues to invade and Eric Smith does not send troops.
> •        The attacking country gains 20% of the contested territory."
"Blair1131","Male, Republican, Eric, Stay out","Approve_Handling",1,56,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

Participant X chooses: '"
"Blair1131","Male, Republican, Eric, Stay out","Approve_Handling",2,64,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Republican, Eric, Stay out","Approve_Handling",2,64,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Republican U.S. President, Eric Smith, says the United States will stay out of the conflict. The attacking country continues to invade. In the end, Eric Smith decides not to send troops, and the attacking country gains 20% of the contested territory.
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Republican named Eric Smith.
> •        Eric Smith says the United States will stay out of the conflict.
> •        The attacking country continues to invade and Eric Smith does not send troops.
> •        The attacking country gains 20% of the contested territory."
"Blair1131","Male, Republican, Eric, Stay out","Approve_Handling",2,64,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

You choose: '"
"Blair1131","Male, Republican, Eric, Not engage","Approve_Handling",1,56,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Republican, Eric, Not engage","Approve_Handling",1,56,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Republican U.S. President, Eric Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Eric Smith decides not to send troops, and the attacking country gains 20% of the contested territory.
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Republican named Eric Smith.
> •        Eric Smith says that if the attack continues, the United States military will push out the invaders.
> •        The attacking country continues to invade and Eric Smith does not send troops.
> •        The attacking country gains 20% of the contested territory."
"Blair1131","Male, Republican, Eric, Not engage","Approve_Handling",1,56,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

Participant X chooses: '"
"Blair1131","Male, Republican, Eric, Not engage","Approve_Handling",2,64,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Republican, Eric, Not engage","Approve_Handling",2,64,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Republican U.S. President, Eric Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Eric Smith decides not to send troops, and the attacking country gains 20% of the contested territory.
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Republican named Eric Smith.
> •        Eric Smith says that if the attack continues, the United States military will push out the invaders.
> •        The attacking country continues to invade and Eric Smith does not send troops.
> •        The attacking country gains 20% of the contested territory."
"Blair1131","Male, Republican, Eric, Not engage","Approve_Handling",2,64,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

You choose: '"
"Blair1131","Male, Republican, Eric, Engage","Approve_Handling",1,56,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Republican, Eric, Engage","Approve_Handling",1,56,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Republican U.S. President, Eric Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Eric Smith orders the military to engage. The attacking country gains 20% of the contested territory, and the U.S. experiences zero casualties. 
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Republican named Eric Smith.
> •        Eric Smith says that if the attack continues, the United States military will push out the invaders.
> •        The attacking country continues to invade and Eric Smith does decide to send troops.
> •        The attacking country gains 20% of the contested territory.
> •        The U.S. experiences zero casualties."
"Blair1131","Male, Republican, Eric, Engage","Approve_Handling",1,56,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

Participant X chooses: '"
"Blair1131","Male, Republican, Eric, Engage","Approve_Handling",2,64,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Republican, Eric, Engage","Approve_Handling",2,64,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Republican U.S. President, Eric Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Eric Smith orders the military to engage. The attacking country gains 20% of the contested territory, and the U.S. experiences zero casualties. 
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Republican named Eric Smith.
> •        Eric Smith says that if the attack continues, the United States military will push out the invaders.
> •        The attacking country continues to invade and Eric Smith does decide to send troops.
> •        The attacking country gains 20% of the contested territory.
> •        The U.S. experiences zero casualties."
"Blair1131","Male, Republican, Eric, Engage","Approve_Handling",2,64,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

You choose: '"
"Blair1131","Male, Republican, Erica, Stay out","Approve_Handling",1,56,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Republican, Erica, Stay out","Approve_Handling",1,56,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Republican U.S. President, Erica Smith, says the United States will stay out of the conflict. The attacking country continues to invade. In the end, Erica Smith decides not to send troops, and the attacking country gains 20% of the contested territory.
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Republican named Erica Smith.
> •        Erica Smith says the United States will stay out of the conflict.
> •        The attacking country continues to invade and Eric Smith does not send troops.
> •        The attacking country gains 20% of the contested territory."
"Blair1131","Male, Republican, Erica, Stay out","Approve_Handling",1,56,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

Participant X chooses: '"
"Blair1131","Male, Republican, Erica, Stay out","Approve_Handling",2,64,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Republican, Erica, Stay out","Approve_Handling",2,64,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Republican U.S. President, Erica Smith, says the United States will stay out of the conflict. The attacking country continues to invade. In the end, Erica Smith decides not to send troops, and the attacking country gains 20% of the contested territory.
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Republican named Erica Smith.
> •        Erica Smith says the United States will stay out of the conflict.
> •        The attacking country continues to invade and Eric Smith does not send troops.
> •        The attacking country gains 20% of the contested territory."
"Blair1131","Male, Republican, Erica, Stay out","Approve_Handling",2,64,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

You choose: '"
"Blair1131","Male, Republican, Erica, Not engage","Approve_Handling",1,56,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Republican, Erica, Not engage","Approve_Handling",1,56,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Republican U.S. President, Erica Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Erica Smith decides not to send troops, and the attacking country gains 20% of the contested territory.
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Republican named Erica Smith.
> •        Erica Smith says that if the attack continues, the United States military will push out the invaders.
> •        The attacking country continues to invade and Eric Smith does not send troops.
> •        The attacking country gains 20% of the contested territory."
"Blair1131","Male, Republican, Erica, Not engage","Approve_Handling",1,56,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

Participant X chooses: '"
"Blair1131","Male, Republican, Erica, Not engage","Approve_Handling",2,64,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Republican, Erica, Not engage","Approve_Handling",2,64,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Republican U.S. President, Erica Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Erica Smith decides not to send troops, and the attacking country gains 20% of the contested territory.
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Republican named Erica Smith.
> •        Erica Smith says that if the attack continues, the United States military will push out the invaders.
> •        The attacking country continues to invade and Eric Smith does not send troops.
> •        The attacking country gains 20% of the contested territory."
"Blair1131","Male, Republican, Erica, Not engage","Approve_Handling",2,64,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

You choose: '"
"Blair1131","Male, Republican, Erica, Engage","Approve_Handling",1,56,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Republican, Erica, Engage","Approve_Handling",1,56,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Republican U.S. President, Erica Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Erica Smith orders the military to engage. The attacking country gains 20% of the contested territory, and the U.S. experiences zero casualties. 
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Republican named Erica Smith.
> •        Erica Smith says that if the attack continues, the United States military will push out the invaders.
> •        The attacking country continues to invade and Eric Smith does decide to send troops.
> •        The attacking country gains 20% of the contested territory.
> •        The U.S. experiences zero casualties."
"Blair1131","Male, Republican, Erica, Engage","Approve_Handling",1,56,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

Participant X chooses: '"
"Blair1131","Male, Republican, Erica, Engage","Approve_Handling",2,64,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Republican, Erica, Engage","Approve_Handling",2,64,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Republican U.S. President, Erica Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Erica Smith orders the military to engage. The attacking country gains 20% of the contested territory, and the U.S. experiences zero casualties. 
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Republican named Erica Smith.
> •        Erica Smith says that if the attack continues, the United States military will push out the invaders.
> •        The attacking country continues to invade and Eric Smith does decide to send troops.
> •        The attacking country gains 20% of the contested territory.
> •        The U.S. experiences zero casualties."
"Blair1131","Male, Republican, Erica, Engage","Approve_Handling",2,64,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

You choose: '"
"Blair1131","Male, Democrat, Eric, Stay out","Approve_Handling",1,56,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Democrat, Eric, Stay out","Approve_Handling",1,56,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Democratic U.S. President, Eric Smith, says the United States will stay out of the conflict. The attacking country continues to invade. In the end, Eric Smith decides not to send troops, and the attacking country gains 20% of the contested territory.
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Democrat named Eric Smith.
> •        Eric Smith says the United States will stay out of the conflict.
> •        The attacking country continues to invade and Eric Smith does not send troops.
> •        The attacking country gains 20% of the contested territory."
"Blair1131","Male, Democrat, Eric, Stay out","Approve_Handling",1,56,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

Participant X chooses: '"
"Blair1131","Male, Democrat, Eric, Stay out","Approve_Handling",2,64,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Democrat, Eric, Stay out","Approve_Handling",2,64,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Democratic U.S. President, Eric Smith, says the United States will stay out of the conflict. The attacking country continues to invade. In the end, Eric Smith decides not to send troops, and the attacking country gains 20% of the contested territory.
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Democrat named Eric Smith.
> •        Eric Smith says the United States will stay out of the conflict.
> •        The attacking country continues to invade and Eric Smith does not send troops.
> •        The attacking country gains 20% of the contested territory."
"Blair1131","Male, Democrat, Eric, Stay out","Approve_Handling",2,64,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

You choose: '"
"Blair1131","Male, Democrat, Eric, Not engage","Approve_Handling",1,56,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Democrat, Eric, Not engage","Approve_Handling",1,56,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Democratic U.S. President, Eric Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Eric Smith decides not to send troops, and the attacking country gains 20% of the contested territory.
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Democrat named Eric Smith.
> •        Eric Smith says that if the attack continues, the United States military will push out the invaders.
> •        The attacking country continues to invade and Eric Smith does not send troops.
> •        The attacking country gains 20% of the contested territory."
"Blair1131","Male, Democrat, Eric, Not engage","Approve_Handling",1,56,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

Participant X chooses: '"
"Blair1131","Male, Democrat, Eric, Not engage","Approve_Handling",2,64,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Democrat, Eric, Not engage","Approve_Handling",2,64,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Democratic U.S. President, Eric Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Eric Smith decides not to send troops, and the attacking country gains 20% of the contested territory.
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Democrat named Eric Smith.
> •        Eric Smith says that if the attack continues, the United States military will push out the invaders.
> •        The attacking country continues to invade and Eric Smith does not send troops.
> •        The attacking country gains 20% of the contested territory."
"Blair1131","Male, Democrat, Eric, Not engage","Approve_Handling",2,64,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

You choose: '"
"Blair1131","Male, Democrat, Eric Engage","Approve_Handling",1,56,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Democrat, Eric Engage","Approve_Handling",1,56,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Democratic U.S. President, Eric Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Eric Smith orders the military to engage. The attacking country gains 20% of the contested territory, and the U.S. experiences zero casualties. 
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Democrat named Eric Smith.
> •        Eric Smith says that if the attack continues, the United States military will push out the invaders.
> •        The attacking country continues to invade and Eric Smith does decide to send troops.
> •        The attacking country gains 20% of the contested territory.
> •        The U.S. experiences zero casualties."
"Blair1131","Male, Democrat, Eric Engage","Approve_Handling",1,56,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

Participant X chooses: '"
"Blair1131","Male, Democrat, Eric Engage","Approve_Handling",2,64,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
"Blair1131","Male, Democrat, Eric Engage","Approve_Handling",2,64,2,"> A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.
> 
> The Democratic U.S. President, Eric Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Eric Smith orders the military to engage. The attacking country gains 20% of the contested territory, and the U.S. experiences zero casualties. 
> 
> To summarize:
> 
> •        The attacking country is led by a male leader.
> •        The U.S. President is a Democrat named Eric Smith.
> •        Eric Smith says that if the attack continues, the United States military will push out the invaders.
> •        The attacking country continues to invade and Eric Smith does decide to send troops.
> •        The attacking country gains 20% of the contested territory.
> •        The U.S. experiences zero casualties."
"Blair1131","Male, Democrat, Eric Engage","Approve_Handling",2,64,3,"> To what extent do you disapprove or approve of how the U.S. President handled the situation?
> Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)

You choose: '"
"Blair1131","Male, Democrat, Erica, Stay out","Approve_Handling",1,56,1,"> The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove."
