study_id,condition,stimulus_text,source,study_context,flags
Haaland874,CONTROL,"Researchers from Harvard University and the University of Chicago conducted an experiment to study racial discrimination in the labor market. They did so by sending out fictitious resumes to help-wanted ads in Boston and Chicago newspapers.

The resumes were exactly the same except for one thing: the name of the job applicant. Half of the resumes had typically white-sounding names like “Carrie” and “Todd”. The other half of the resumes had typically black-sounding names like “Tanisha” and “Kareem”. The idea was to make sure that the applicants were seen as having identical qualifications, but that the employers would use the applicants’ names to infer whether they were white or black.

Resumes with white-sounding names had to be sent out on average 10 times to get one callback for an interview.

<u>What do you think?</u>
[participant responds]
How many times do you think resumes with <u>black-sounding</u> names on average had to be sent out to get one callback for an interview?
[participant responds]
I think resumes with black-sounding names on average had to be sent out ____ times to get one callback for an interview. 

If your answer is the same as what the researchers found, you will be rewarded a <u>bonus of $2</u>.",llm_prompts,,"html_tags,embedded_response_prompt"
Haaland874,TREATMENT,"Researchers from Harvard University and the University of Chicago conducted an experiment to study racial discrimination in the labor market. They did so by sending out fictitious resumes to help-wanted ads in Boston and Chicago newspapers.

The resumes were exactly the same except for one thing: the name of the job applicant. Half of the resumes had typically white-sounding names like “Carrie” and “Todd”. The other half of the resumes had typically black-sounding names like “Tanisha” and “Kareem”. The idea was to make sure that the applicants were seen as having identical qualifications, but that the employers would use the applicants’ names to infer whether they were white or black.

Resumes with white-sounding names had to be sent out on average 10 times to get one callback for an interview.

<u>What do you think?</u>
[participant responds]

How many times do you think resumes with <u>black-sounding</u> names on average had to be sent out to get one callback for an interview?
[participant responds]

I think resumes with black-sounding names on average had to be sent out ____ times to get one callback for an interview. 

If your answer is the same as what the researchers found, you will be rewarded a <u>bonus of $2</u>.

The researchers found that resumes with black-sounding names on average had to be sent out 15 times to get one callback for an interview.

Since resumes with white-sounding names on average only had to be sent out 10 times to get one callback for an interview, this means that employers were 50 percent more likely to give callbacks to applicants with white-sounding names compared to applicants with black-sounding names.",llm_prompts,,"html_tags,embedded_response_prompt"
HankinsonS22,Far Treatment,"Medication-assisted treatment clinics provide help for people with substance abuse problems. They do this by providing needed medication (such as methadone) and follow-up that can keep them off dangerous opioids and prevent deadly overdoses

Would you support the opening of a new medication-assisted treatment clinic for opioid addiction 2 miles (40 minute walk) from your home?",llm_prompts,,
HankinsonS22,Near Treatment,"Medication-assisted treatment clinics provide help for people with substance abuse problems. They do this by providing needed medication (such as methadone) and follow-up that can keep them off dangerous opioids and prevent deadly overdoses.

Would you support the opening of a new medication-assisted treatment clinic for opioid addiction a ¼ mile (5 minute walk) from your home?",llm_prompts,,
KlarS44,CONTROL,"Recently, several states have enacted especially restrictive abortion laws. These laws were supported by the majority of the members in the state legislatures. Some report that these laws are a political attack.",llm_prompts,,
KlarS44,GENDER,"Recently, several states have enacted especially restrictive abortion laws. These laws were supported by the majority of men in the state legislatures. Some report that these laws are a political attack on women.",llm_prompts,,
KlarS44,PARTISAN,"Recently, several states have enacted especially restrictive abortion laws. These laws were supported by the majority of Republicans in the state legislatures. Some report that these laws are a political attack on Democrats.",llm_prompts,,
McCabeS19,CONTROL,,llm_prompts,,
McCabeS19,INSURANCE,"Please read about an unexpected cost that some people experience with their health care: 

You were surprised to find out that your insurance plan would not pay any part of a medical bill for care you received to treat an illness, injury, or other medical event.

Have you had this experience?

RESPONSE OPTIONS:
1.        Yes 
2.        No, but I have heard about people with this experience
3.        No, and I have not heard about people with this experience
[participant responds]",llm_prompts,,embedded_response_prompt
McCabeS19,PROVIDER,"Please read about an unexpected cost that some people experience with their health care: 

You were surprised to find out that your hospital, clinic, or other health care provider charged you more than you expected in a medical bill for care you received to treat an illness, injury or other medical event.  

Have you had this experience?

RESPONSE OPTIONS:
1.        Yes 
2.        No, but I have heard about people with this experience
3.        No, and I have not heard about people with this experience
[participant responds]",llm_prompts,,embedded_response_prompt
McCabeS19,PROVIDER+GOVERNMENT CUE,"Some people want Democrats and Republicans in government to address the costs of health care. Please read about an unexpected cost that some people experience with their health care: 

You were surprised to find out that your hospital, clinic, or other health care provider charged you more than you expected in a medical bill for care you received to treat an illness, injury or other medical event. 

Have you had this experience?

RESPONSE OPTIONS:
1.        Yes 
2.        No, but I have heard about people with this experience
3.        No, and I have not heard about people with this experience
[participant responds]",llm_prompts,,embedded_response_prompt
McGinty730,No narrative,,llm_prompts,,
McGinty730,Successful Treatment Engagement & Recovery,"The text below is an excerpt from a radio program that aired four months ago: 

“My name is Michelle Johnson, and my son Keith has schizophrenia.  Keith was a star student and athlete all through high school.  After he graduated from college, Keith got a good job managing a restaurant in our city.  Then, a year later, everything changed: Keith was diagnosed with schizophrenia.  In a matter of months, he lost his job and his apartment.  Sometimes he stayed at home with us, but often we couldn’t find him.  Keith’s father and I were so scared.  We didn’t know what was happening to our son or how to help him.  Finally, we took Keith to the emergency room.  The doctors there recommended inpatient treatment and tried to find Keith a bed at one of the city’s mental health facilities, but none were immediately available.  While we searched for an opening in inpatient treatment, Keith saw a local psychiatrist once a week and received home visits from the city’s intensive treatment team, which helps people with serious mental illness get the care they need and also assists with housing and employment.  After more than a month, we found Keith a spot in an inpatient program.  Once he started the program, Keith did well.  He began taking medication regularly and participating in therapy.  After two weeks, he was discharged to continue treatment in the community and came to live with us.  

That was three years ago.  Today, Keith continues to take medication, see his doctor regularly, and receive visits from the intensive treatment team.  He has his own apartment, which the intensive treatment team helped him find, and a full-time job at a local business, which he found with help from the city’s supported employment program.  I am so grateful that we were able to get Keith the treatment he needed, but we are unfortunately now badly in debt.  Our insurance covered only a small part of Keith’s treatment costs.  We have used up almost all our savings and still struggle to pay the medical bills.”",llm_prompts,,
McGinty730,Unsuccessful Treatment Engagement (Individual Choice),"The text below is an excerpt from a radio program that aired four months ago: 

“My name is Michelle Johnson, and my son Keith has schizophrenia.  Keith was a star student and athlete all through high school.  After he graduated from college, Keith got a good job managing a restaurant in our city.  Then, a year later, everything changed: Keith was diagnosed with schizophrenia.  In a matter of months, he lost his job and his apartment.  Sometimes he stayed at home with us, but often we couldn’t find him.  Keith’s father and I were so scared.  We didn’t know what was happening to our son or how to help him.  Finally, we took Keith to the emergency room.  The doctors there recommended inpatient treatment and tried to find Keith a bed at one of the city’s mental health facilities, but none were immediately available.  While we searched for an opening in inpatient treatment, Keith saw a local psychiatrist once a week and received home visits from the city’s intensive treatment team, which helps people with serious mental illness get the care they need and also assists with housing and employment.  After more than a month, we found Keith a spot in an inpatient program.  Once he started the program, Keith did well.  He began taking medication regularly and participating in therapy.  After two weeks, he was discharged to continue treatment in the community and came to live with us.  

That was six months ago.  For the first month, Keith continued to take his medication, see his doctor regularly, and receive visits from the intensive treatment team.  Then he suddenly stopped treatment, and his symptoms returned. He told me he did not like the way the medication made him feel and that his doctor did not understand him.  His psychiatrist said Keith needed to return to inpatient care, but there were no spots available in the inpatient program where he did so well and Keith refused to go to a different program.  Our son has left home and often sleeps on the street. We are unfortunately now badly in debt. Our insurance covered only a small part of Keith’s treatment costs.  We have used up almost all our savings and still struggle to pay the medical bills.  ”",llm_prompts,,
McGinty730,Unsuccessful Treatment Engagement (Individual Choice) + Family Violence,"The text below is an excerpt from a radio program that aired four months ago: 

“My name is Michelle Johnson, and my son Keith has schizophrenia.  Keith was a star student and athlete all through high school.  After he graduated from college, Keith got a good job managing a restaurant in our city.  Then, a year later, everything changed: Keith was diagnosed with schizophrenia.  In a matter of months, he lost his job and his apartment.  Sometimes he stayed at home with us, but often we couldn’t find him.  Keith’s father and I were so scared.  We didn’t know what was happening to our son or how to help him.  Finally, we took Keith to the emergency room.  The doctors there recommended inpatient treatment and tried to find Keith a bed at one of the city’s mental health facilities, but none were immediately available.  While we searched for an opening in inpatient treatment, Keith saw a local psychiatrist once a week and received home visits from the city’s intensive treatment team, which helps people with serious mental illness get the care they need and also assists with housing and employment.  After more than a month, we found Keith a spot in an inpatient program.  Once he started the program, Keith did well.  He began taking medication regularly and participating in therapy.  After two weeks, he was discharged to continue treatment in the community and came to live with us.  

That was six months ago.  For the first month, Keith continued to take his medication, see his doctor regularly, and receive visits from the intensive treatment team.  Then he suddenly stopped treatment, and his symptoms returned. He told me he did not like the way the medication made him feel and that his doctor did not understand him.  His psychiatrist said Keith needed to return to inpatient care, but there were no spots available in the inpatient program where he did so well and Keith refused to go to a different program.    Our son has left home and often sleeps on the street. We are unfortunately now badly in debt. Our insurance covered only a small part of Keith’s treatment costs.  We have used up almost all our savings and still struggle to pay the medical bills.  ”

Michelle Johnson spoke these words on a radio program four months ago.  Keith’s untreated schizophrenia went on to have terrible consequences: last week, he killed his father and two teenage sisters.  Neighbors say Keith arrived at his parents’ house around 12:30pm and appeared agitated, pacing up and down the driveway and talking to himself.  At approximately 12:35pm, Keith entered the house, took a gun out of his bag, and began to shoot.  Keith’s father and two teenage sisters were killed; his mother was not home at the time.  According to a friend who Keith stayed with in the days prior to committing the shooting, Keith had begun to believe that his family members were government agents with plans to harm him.  Keith Johnson is now in a secure psychiatric facility awaiting trial.",llm_prompts,,
McGinty730,Unsuccessful Treatment Engagement (Individual Choice) + Stranger Violence,"The text below is an excerpt from a radio program that aired four months ago: 

“My name is Michelle Johnson, and my son Keith has schizophrenia.  Keith was a star student and athlete all through high school.  After he graduated from college, Keith got a good job managing a restaurant in our city.  Then, a year later, everything changed: Keith was diagnosed with schizophrenia.  In a matter of months, he lost his job and his apartment.  Sometimes he stayed at home with us, but often we couldn’t find him.  Keith’s father and I were so scared.  We didn’t know what was happening to our son or how to help him.  Finally, we took Keith to the emergency room.  The doctors there recommended inpatient treatment and tried to find Keith a bed at one of the city’s mental health facilities, but none were immediately available.  While we searched for an opening in inpatient treatment, Keith saw a local psychiatrist once a week and received home visits from the city’s intensive treatment team, which helps people with serious mental illness get the care they need and also assists with housing and employment.  After more than a month, we found Keith a spot in an inpatient program.  Once he started the program, Keith did well.  He began taking medication regularly and participating in therapy.  After two weeks, he was discharged to continue treatment in the community and came to live with us.  

That was six months ago.  For the first month, Keith continued to take his medication, see his doctor regularly, and receive visits from the intensive treatment team.  Then he suddenly stopped treatment, and his symptoms returned. He told me he did not like the way the medication made him feel and that his doctor did not understand him.  His psychiatrist said Keith needed to return to inpatient care, but there were no spots available in the inpatient program where he did so well and Keith refused to go to a different program.    Our son has left home and often sleeps on the street. We are unfortunately now badly in debt. Our insurance covered only a small part of Keith’s treatment costs.  We have used up almost all our savings and still struggle to pay the medical bills.  ”

Michelle Johnson spoke these words on a radio program four months ago.  Keith’s untreated schizophrenia went on to have terrible consequences: it led him to commit last week’s shooting in Oliver Park.  Witnesses say Keith arrived at the park around 12:30pm and appeared agitated, pacing up and down and talking to himself.  At approximately 12:35pm, Keith took a gun out of his bag and began to shoot.  A father and his two teenage daughters, who were eating lunch in the park, were shot and killed before Keith was tackled by a security guard from a nearby building.  According to a friend who Keith stayed with in the days prior to the shooting, Keith had begun to believe that strangers on the street were government agents with plans to harm him.  Keith Johnson is now in a secure psychiatric facility awaiting trial.",llm_prompts,,
McGinty730,Unsuccessful Treatment Engagement (Policy Failure),"The text below is an excerpt from a radio program that aired four months ago: 

“My name is Michelle Johnson, and my son Keith has schizophrenia.  Keith was a star student and athlete all through high school.  After he graduated from college, Keith got a good job managing a restaurant in our city.  Then, a year later, everything changed: Keith was diagnosed with schizophrenia.  In a matter of months, he lost his job and his apartment.  Sometimes he stayed at home with us, but often we couldn’t find him.  Keith’s father and I were so scared.  We didn’t know what was happening to our son or how to help him.  Finally, we took Keith to the emergency room.  The doctors there recommended inpatient treatment and tried to find Keith a bed at one of the city’s mental health facilities, but none were immediately available.  While we searched for an opening in inpatient treatment, Keith saw a local psychiatrist once a week.  Keith needed to see a doctor more frequently, but no appointments were available.  Keith’s psychiatrist said that the city used to have an intensive treatment team that made home visits to provide needed care and also assisted with housing and employment, but the program was cut last year. After more than a month, we found Keith a spot in an inpatient program.  Once he started the program, Keith did well.  He began taking medication regularly and participating in therapy.  After two weeks, he was discharged to continue treatment in the community and came to live with us.  

That was six months ago.  For the first month, Keith continued to take his medication and see his doctor regularly.  Unfortunately, Keith still could not see his psychiatrist as often as needed, and after a month his symptoms began to return.  His psychiatrist said Keith needed to return to inpatient care, but there were no spots available in the inpatient program where he did so well.  We are still looking for inpatient treatment for Keith, but our son has stopped treatment, left home and often sleeps on the street. We are unfortunately now badly in debt.  Our insurance covered only a small part of Keith’s treatment costs.  We have used up almost all our savings and still struggle to pay the medical bills. ”",llm_prompts,,
McGinty730,Unsuccessful Treatment Engagement (Policy Failure) + Stranger Violence,"The text below is an excerpt from a radio program that aired four months ago: 

“My name is Michelle Johnson, and my son Keith has schizophrenia.  Keith was a star student and athlete all through high school.  After he graduated from college, Keith got a good job managing a restaurant in our city.  Then, a year later, everything changed: Keith was diagnosed with schizophrenia.  In a matter of months, he lost his job and his apartment.  Sometimes he stayed at home with us, but often we couldn’t find him.  Keith’s father and I were so scared.  We didn’t know what was happening to our son or how to help him.  Finally, we took Keith to the emergency room.  The doctors there recommended inpatient treatment and tried to find Keith a bed at one of the city’s mental health facilities, but none were immediately available.  While we searched for an opening in inpatient treatment, Keith saw a local psychiatrist once a week.  Keith needed to see a doctor more frequently, but no appointments were available.  Keith’s psychiatrist said that the city used to have an intensive treatment team that made home visits to provide needed care and also assisted with housing and employment, but the program was cut last year. After more than a month, we found Keith a spot in an inpatient program.  Once he started the program, Keith did well.  He began taking medication regularly and participating in therapy.  After two weeks, he was discharged to continue treatment in the community and came to live with us.  

That was six months ago.  For the first month, Keith continued to take his medication and see his doctor regularly.  Unfortunately, Keith still could not see his psychiatrist as often as needed, and after a month his symptoms began to return.  His psychiatrist said Keith needed to return to inpatient care, but there were no spots available in the inpatient program where he did so well.  We are still looking for inpatient treatment for Keith, but our son has stopped treatment, left home and often sleeps on the street.  We are unfortunately now badly in debt. Our insurance covered only a small part of Keith’s treatment costs.  We have used up almost all our savings and still struggle to pay the medical bills.  ”

Michelle Johnson spoke these words on a radio program four months ago.  Keith’s untreated schizophrenia went on to have terrible consequences: it led him to commit last week’s shooting in Oliver Park.  Witnesses say Keith arrived at the park around 12:30pm and appeared agitated, pacing up and down and talking to himself.  At approximately 12:35pm, Keith took a gun out of his bag and began to shoot.  A father and his two teenage daughters, who were eating lunch in the park, were shot and killed before Keith was tackled by a security guard from a nearby building.  According to a friend who Keith stayed with in the days prior to the shooting, Keith had begun to believe that strangers on the street were government agents with plans to harm him.  Keith Johnson is now in a secure psychiatric facility awaiting trial.",llm_prompts,,
McGinty730,Unsuccessful treatment Engagement (Policy Failure) + Family Violence,"The text below is an excerpt from a radio program that aired four months ago: 

“My name is Michelle Johnson, and my son Keith has schizophrenia.  Keith was a star student and athlete all through high school.  After he graduated from college, Keith got a good job managing a restaurant in our city.  Then, a year later, everything changed: Keith was diagnosed with schizophrenia.  In a matter of months, he lost his job and his apartment.  Sometimes he stayed at home with us, but often we couldn’t find him.  Keith’s father and I were so scared.  We didn’t know what was happening to our son or how to help him.  Finally, we took Keith to the emergency room.  The doctors there recommended inpatient treatment and tried to find Keith a bed at one of the city’s mental health facilities, but none were immediately available.  While we searched for an opening in inpatient treatment, Keith saw a local psychiatrist once a week.  Keith needed to see a doctor more frequently, but no appointments were available.  Keith’s psychiatrist said that the city used to have an intensive treatment team that made home visits to provide needed care and also assisted with housing and employment, but the program was cut last year. After more than a month, we found Keith a spot in an inpatient program.  Once he started the program, Keith did well.  He began taking medication regularly and participating in therapy.  After two weeks, he was discharged to continue treatment in the community and came to live with us.  

That was six months ago.  For the first month, Keith continued to take his medication and see his doctor regularly.  Unfortunately, Keith still could not see his psychiatrist as often as needed, and after a month his symptoms began to return.  His psychiatrist said Keith needed to return to inpatient care, but there were no spots available in the inpatient program where he did so well.  We are still looking for inpatient treatment for Keith, but our son has stopped treatment, left home and often sleeps on the street.  We are unfortunately now badly in debt. Our insurance covered only a small part of Keith’s treatment costs.  We have used up almost all our savings and still struggle to pay the medical bills.  ”

Michelle Johnson spoke these words on a radio program four months ago.  Keith’s untreated schizophrenia went on to have terrible consequences: last week, he killed his father and two teenage sisters.  Neighbors say Keith arrived at his parents’ house around 12:30pm and appeared agitated, pacing up and down the driveway and talking to himself.  At approximately 12:35pm, Keith entered the house, took a gun out of his bag, and began to shoot.  Keith’s father and two teenage sisters were killed; his mother was not home at the time.  According to a friend who Keith stayed with in the days prior to committing the shooting, Keith had begun to believe that his family members were government agents with plans to harm him.  Keith Johnson is now in a secure psychiatric facility awaiting trial.",llm_prompts,,
Melin1066,“Cosmetics/Automotive”,"Please imagine you work for a prominent automotive manufacturing company. You will be provided with a job description and an applicant’s résumé who is applying for a Senior Technical Project Manager position. After thoroughly reviewing the job description and the applicant’s résumé, please continue on to the next screen to evaluate the applicant by providing your immediate and uncensored opinion. 

Please take the time you need to <u>carefully<u> review the next two screens. We will be asking you questions about this position and applicant after reading.

Job description for your review:

Position: Senior Technical Project Manager 

A Sr. Technical Project Manager will be responsible for: 
- Leading high performance project teams across the organization
- Building professional relationships with key stakeholders
- Defining project objectives, roadmaps, and deliverables 
- Aligning project tactics with project strategy for all new services
[SPACE]
The successful applicant will be hard-working, results-oriented, and a team player.
[SPACE]
<u>Required Qualifications: <u>
• Bachelor’s degree in Business Administration or a related field 
• 3-5 years of related experience
• Comfort with travel regionally or globally (up to 30% of time)
• Self-motivated with potential for leadership
• Excellent communication skills
• Solid computer skills, including Microsoft software products 

Applicant’s résumé for your review:
Amy Decker 10 Byron Drive, Apt. #10 Wrightstown, NJ 08562 amy.decker@gmail.com 609-724-6548 

Overview
Motivated Project Manager with 5 years of experience working in cosmetics and beauty.

Education
Rutgers University (New Brunswick, NJ) May 2017 (Graduated)
Completed part-time
B.A. in Business Administration
GPA: 3.72/4.00

Work Experience

Cosmetics Project Manager 2014 - Present
Precious Cosmetics (Lodi, NJ)
• Plan and track progress of entire life-cycle of cosmetics and beauty product projects.
• Build and maintain project plans, including actual and forecasted activities and timelines. 
• Ensure project staffing and timely communications throughout project lifecycle. 
• Identify and manage project risks.

Volunteer Experience

Volunteer 2016 - Present
Community FoodBank of New Jersey (Hillside, NJ)
• Serve as a community volunteer for 4-6 hours per month.

Skills and Interests
• Computer: Proficient in Microsoft Office (including Word, Excel, Outlook, and PowerPoint).
• Interests: Running and traveling.",llm_prompts,This task is part of a larger study on the design of Human Resources (HR) recruiting practices to pre-screen job applicants.,"html_tags,layout_placeholder"
Melin1066,“Cosmetics/Consulting”,"Please imagine you work for a prominent management consulting company. You will be provided with a job description and an applicant’s résumé who is applying for a Senior Manager position. After thoroughly reviewing the job description and the applicant’s résumé, please continue on to the next screen to evaluate the applicant by providing your immediate and uncensored opinion. 

Please take the time you need to <u>carefully<u> review the next two screens. We will be asking you questions about this position and applicant after reading.

Job description for your review:

Position: Senior Manager (Consulting) 

A Sr. Manager will be responsible for: 
- Leading high performance project teams across the organization
- Building professional relationships with key stakeholders
- Defining project objectives, roadmaps, and deliverables 
- Aligning project tactics with project strategy for all new services
[SPACE]
The successful applicant will be hard-working, results-oriented, and a team player.
[SPACE]
<u>Required Qualifications: <u>
• Bachelor’s degree in Business Administration or a related field 
• 3-5 years of related experience
• Comfort with travel regionally or globally (up to 30% of time)
• Self-motivated with potential for leadership
• Excellent communication skills
• Solid computer skills, including Microsoft software products 

Applicant’s résumé for your review:
Amy Decker 10 Byron Drive, Apt. #10 Wrightstown, NJ 08562 amy.decker@gmail.com 609-724-6548 

Overview
Motivated Project Manager with 5 years of experience working in cosmetics and beauty.

Education
Rutgers University (New Brunswick, NJ) May 2017 (Graduated)
Completed part-time
B.A. in Business Administration
GPA: 3.72/4.00

Work Experience

Cosmetics Project Manager 2014 - Present
Precious Cosmetics (Lodi, NJ)
• Plan and track progress of entire life-cycle of cosmetics and beauty product projects.
• Build and maintain project plans, including actual and forecasted activities and timelines. 
• Ensure project staffing and timely communications throughout project lifecycle. 
• Identify and manage project risks.

Volunteer Experience

Volunteer 2016 - Present
Community FoodBank of New Jersey (Hillside, NJ)
• Serve as a community volunteer for 4-6 hours per month.

Skills and Interests
• Computer: Proficient in Microsoft Office (including Word, Excel, Outlook, and PowerPoint).
• Interests: Running and traveling.",llm_prompts,This task is part of a larger study on the design of Human Resources (HR) recruiting practices to pre-screen job applicants.,"html_tags,layout_placeholder"
Melin1066,“Cosmetics/Wedding”,"Please imagine you work for a prominent wedding and social events planning company. You will be provided with a job description and an applicant’s résumé who is applying for Senior Event Planning Manager position. After thoroughly reviewing the job description and the applicant’s résumé, please continue on to the next screen to evaluate the applicant by providing your immediate and uncensored opinion. 

Please take the time you need to <u>carefully<u> review the next two screens. We will be asking you questions about this position and applicant after reading.

Job description for your review:

Position:Senior Event Planning Manager (Wedding and Social Events) 

A Sr. Event Planning Manage will be responsible for: 
- Leading high performance project teams across the organization
- Building professional relationships with key stakeholders
- Defining project objectives, roadmaps, and deliverables 
- Aligning project tactics with project strategy for all new services
[SPACE]
The successful applicant will be hard-working, results-oriented, and a team player.
[SPACE]
<u>Required Qualifications: <u>
• Bachelor’s degree in Business Administration or a related field 
• 3-5 years of related experience
• Comfort with travel regionally or globally (up to 30% of time)
• Self-motivated with potential for leadership
• Excellent communication skills
• Solid computer skills, including Microsoft software products 

Applicant’s résumé for your review:
Amy Decker 10 Byron Drive, Apt. #10 Wrightstown, NJ 08562 amy.decker@gmail.com 609-724-6548 

Overview
Motivated Project Manager with 5 years of experience working in cosmetics and beauty.

Education
Rutgers University (New Brunswick, NJ) May 2017 (Graduated)
Completed part-time
B.A. in Business Administration
GPA: 3.72/4.00

Work Experience

Cosmetics Project Manager 2014 - Present
Precious Cosmetics (Lodi, NJ)
• Plan and track progress of entire life-cycle of cosmetics and beauty product projects.
• Build and maintain project plans, including actual and forecasted activities and timelines. 
• Ensure project staffing and timely communications throughout project lifecycle. 
• Identify and manage project risks.

Volunteer Experience

Volunteer 2016 - Present
Community FoodBank of New Jersey (Hillside, NJ)
• Serve as a community volunteer for 4-6 hours per month.

Skills and Interests
• Computer: Proficient in Microsoft Office (including Word, Excel, Outlook, and PowerPoint).
• Interests: Running and traveling.",llm_prompts,This task is part of a larger study on the design of Human Resources (HR) recruiting practices to pre-screen job applicants.,"html_tags,layout_placeholder"
